attempt	commit	window_id	result_dir	window_start	window_end	window_days	symbol_count	score	raw_net_return	trade_count	status	description	run_kind	candidate_score	recent_mean_score	worst_recent_score	passed_window_count	failed_window_count	promotion_decision	promotion_score	score_dispersion	cost_stress_score	cost_stress_ratio	rotating_probe_window_id	rotating_probe_score	promoted_commit
1	4ac5d5b	locked_recent_2026	results/2026-05-27T141624Z-crypto_perp_autoresearch_ensemble	2025-10-16	2026-04-13	180	2				discard	baseline imported ensemble	explore													
2	4ac5d5b	locked_recent_2026	results/2026-05-27T141756Z-crypto_perp_autoresearch_ensemble	2025-10-16	2026-04-13	180	2	-2.1039966100524893e-05	-0.0037871938980944806	628	keep	baseline after strategy id contract fix	explore													
3	4ac5d5b	locked_recent_2026	results/2026-05-27T142012Z-crypto_perp_autoresearch_ensemble	2025-10-16	2026-04-13	180	2	0.00011988724601605625	0.021579704282890126	433	keep	short-only technical vote filter	explore													
4	4ac5d5b	validation_2025_h1	results/2026-05-27T142130Z-crypto_perp_autoresearch_ensemble	2025-01-01	2025-06-29	180	2	0.00010480246931609683	0.01886444447689743	437	discard	fixed guard: short-only technical vote filter	diagnostic													
5	4ac5d5b	locked_recent_2026	results/promotion_0005_crypto_perp_autoresearch_ensemble	2025-10-16	2026-04-13	180	2	0.00011988724601605625	0.021579704282890126	433	reject	promote candidate: short-only technical vote filter	promotion						reject	-0.0009982872166098369	7.878297508392878e-05	0.00010064280157161182	2.4484755303845684	validation_2025_h1	0.00010480246931609683	
6	4ac5d5b	locked_recent_2026	results/2026-05-27T142748Z-crypto_perp_autoresearch_ensemble	2025-10-16	2026-04-13	180	2	0.00011599426947446652	0.020878968505403973	433	discard	short-only fixed-hold without ATR trailing stop	explore													
7	4ac5d5b	validation_2025_h2	results/2026-05-27T142914Z-crypto_perp_autoresearch_ensemble	2025-07-01	2025-12-27	180	2	-5.87496998584097e-05	-0.010574945974513746	428	discard	diagnostic: short-only fixed-hold H2 stop-failure check	diagnostic													
8	4ac5d5b	locked_recent_2026	results/2026-05-27T143136Z-crypto_perp_autoresearch_ensemble	2025-10-16	2026-04-13	180	9	0.00010181867731808247	0.018327361917254845	2063	discard	short-only tier1 9-symbol universe	explore													
9	4ac5d5b	validation_2025_h2	results/2026-05-27T143624Z-crypto_perp_autoresearch_ensemble	2025-07-01	2025-12-27	180	9	1.715236808916855e-06	0.0003087426256050339	1981	discard	diagnostic: short-only tier1 9-symbol H2 robustness	diagnostic													
10	4ac5d5b	locked_recent_2026	results/2026-05-27T144142Z-crypto_perp_autoresearch_ensemble	2025-10-16	2026-04-13	180	4	0.00013708966969475618	0.024676140545056114	945	keep	short-only ADA XRP AVAX LINK subset	explore													
11	4ac5d5b	validation_2025_h2	results/2026-05-27T144355Z-crypto_perp_autoresearch_ensemble	2025-07-01	2025-12-27	180	4	6.092496257904545e-05	0.010966493264228182	902	discard	diagnostic: short-only ADA XRP AVAX LINK H2	diagnostic													
12	4ac5d5b	validation_2025_h1	results/2026-05-27T144610Z-crypto_perp_autoresearch_ensemble	2025-01-01	2025-06-29	180	4	0.00019818717826718314	0.03567369208809296	923	keep	fixed guard: short-only ADA XRP AVAX LINK subset	diagnostic													
